tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,formation_error,d1_track,d1_formation,d1_avoidance,d1_altitude,d2_track,d2_formation,d2_avoidance,d2_altitude
406,-1.5708,0.004,-0.022,-5.044,0.038,-0.016,-4.973,-5.004,0.022,-5.002,-4.957,-0.044,-4.988,0.028,0.049,0.032,0.000,0.027,0.063,0.032,0.000,0.012
407,-1.5708,0.005,-0.023,-5.044,0.035,-0.012,-4.971,-5.005,0.023,-5.012,-4.959,-0.040,-4.983,0.029,0.047,0.031,0.000,0.029,0.060,0.031,0.000,0.017
408,-1.5708,0.005,-0.022,-5.031,0.031,-0.003,-4.978,-5.005,0.022,-5.013,-4.963,-0.030,-4.985,0.028,0.038,0.029,0.000,0.022,0.050,0.029,0.000,0.015
409,-1.5708,0.005,-0.023,-5.008,0.026,0.011,-4.993,-5.005,0.023,-5.008,-4.968,-0.017,-4.993,0.029,0.029,0.029,0.000,0.007,0.037,0.029,0.000,0.007
410,-1.5708,0.003,-0.022,-4.982,0.022,0.026,-5.011,-5.003,0.022,-4.998,-4.974,-0.002,-5.005,0.028,0.036,0.029,0.000,0.011,0.026,0.029,0.000,0.005
411,-1.5707,0.002,-0.024,-4.956,0.018,0.041,-5.028,-5.001,0.024,-4.992,-4.981,0.011,-5.015,0.030,0.053,0.032,0.000,0.028,0.027,0.032,0.000,0.015
412,-1.5707,-0.001,-0.022,-4.943,0.014,0.049,-5.037,-4.998,0.022,-4.987,-4.987,0.021,-5.021,0.028,0.063,0.032,0.000,0.037,0.032,0.032,0.000,0.021
413,-1.5706,-0.005,-0.017,-4.944,0.010,0.051,-5.036,-4.994,0.017,-4.988,-4.997,0.029,-5.020,0.023,0.063,0.028,0.000,0.036,0.036,0.028,0.000,0.020
414,-1.5706,-0.007,-0.012,-4.961,0.006,0.049,-5.024,-4.991,0.012,-4.996,-5.004,0.034,-5.012,0.018,0.055,0.022,0.000,0.024,0.036,0.022,0.000,0.012
415,-1.5705,-0.007,-0.007,-4.990,0.000,0.046,-5.003,-4.990,0.007,-5.011,-5.010,0.036,-4.996,0.014,0.046,0.016,0.000,0.003,0.039,0.016,0.000,0.004
416,-1.5704,-0.006,-0.004,-5.017,-0.004,0.042,-4.984,-4.990,0.004,-5.026,-5.014,0.038,-4.980,0.011,0.046,0.012,0.000,0.016,0.046,0.012,0.000,0.020
417,-1.5702,-0.004,0.000,-5.036,-0.007,0.037,-4.969,-4.991,-0.000,-5.038,-5.015,0.037,-4.969,0.008,0.049,0.008,0.000,0.031,0.052,0.008,0.000,0.031
418,-1.5701,-0.001,0.005,-5.045,-0.009,0.027,-4.964,-4.992,-0.005,-5.039,-5.014,0.033,-4.966,0.009,0.046,0.009,0.000,0.036,0.051,0.009,0.000,0.034
419,-1.5699,0.003,0.011,-5.037,-0.011,0.010,-4.970,-4.995,-0.011,-5.031,-5.012,0.024,-4.972,0.014,0.035,0.014,0.000,0.030,0.040,0.014,0.000,0.028
420,-1.5697,0.007,0.014,-5.024,-0.012,-0.007,-4.982,-4.996,-0.014,-5.014,-5.009,0.010,-4.986,0.018,0.026,0.018,0.000,0.018,0.023,0.018,0.000,0.014
421,-1.5695,0.012,0.017,-5.003,-0.013,-0.029,-5.000,-4.998,-0.017,-4.992,-5.006,-0.007,-5.004,0.023,0.035,0.023,0.000,0.000,0.015,0.023,0.000,0.004
422,-1.5692,0.015,0.020,-4.984,-0.013,-0.046,-5.016,-4.999,-0.020,-4.974,-5.003,-0.022,-5.019,0.026,0.053,0.026,0.000,0.016,0.031,0.026,0.000,0.019
423,-1.5689,0.019,0.021,-4.971,-0.012,-0.060,-5.025,-5.000,-0.021,-4.966,-5.000,-0.033,-5.027,0.029,0.068,0.029,0.000,0.025,0.044,0.029,0.000,0.027
424,-1.5685,0.022,0.024,-4.969,-0.010,-0.068,-5.026,-5.000,-0.024,-4.970,-4.996,-0.038,-5.025,0.033,0.076,0.033,0.000,0.026,0.046,0.033,0.000,0.025
425,-1.5682,0.025,0.024,-4.978,-0.007,-0.072,-5.017,-4.999,-0.024,-4.984,-4.992,-0.041,-5.015,0.034,0.076,0.034,0.000,0.017,0.044,0.034,0.000,0.015
426,-1.5677,0.027,0.024,-4.998,-0.003,-0.073,-5.000,-4.996,-0.024,-5.004,-4.988,-0.043,-4.998,0.033,0.075,0.033,0.000,0.000,0.043,0.033,0.000,0.002
427,-1.5673,0.028,0.022,-5.019,0.001,-0.072,-4.983,-4.993,-0.022,-5.022,-4.986,-0.045,-4.982,0.030,0.076,0.030,0.000,0.017,0.048,0.030,0.000,0.018
428,-1.5668,0.028,0.018,-5.037,0.006,-0.067,-4.970,-4.988,-0.018,-5.034,-4.984,-0.044,-4.971,0.025,0.075,0.025,0.000,0.030,0.053,0.025,0.000,0.029
429,-1.5662,0.027,0.014,-5.044,0.010,-0.057,-4.965,-4.981,-0.014,-5.036,-4.984,-0.039,-4.968,0.018,0.068,0.018,0.000,0.035,0.051,0.018,0.000,0.032
430,-1.5656,0.025,0.007,-5.035,0.016,-0.038,-4.972,-4.974,-0.006,-5.030,-4.985,-0.030,-4.974,0.008,0.048,0.008,0.000,0.028,0.041,0.008,0.000,0.026
431,-1.5650,0.023,-0.000,-5.015,0.021,-0.016,-4.987,-4.965,0.000,-5.018,-4.986,-0.017,-4.986,0.007,0.022,0.007,0.000,0.013,0.027,0.007,0.000,0.014
432,-1.5643,0.023,-0.006,-4.992,0.025,0.007,-5.005,-4.958,0.006,-4.999,-4.987,-0.001,-5.003,0.015,0.011,0.015,0.000,0.005,0.020,0.015,0.000,0.003
433,-1.5635,0.023,-0.013,-4.969,0.029,0.029,-5.022,-4.951,0.013,-4.984,-4.987,0.013,-5.017,0.023,0.037,0.024,0.000,0.022,0.031,0.024,0.000,0.017
434,-1.5627,0.024,-0.017,-4.956,0.033,0.045,-5.033,-4.943,0.018,-4.974,-4.987,0.023,-5.026,0.030,0.056,0.031,0.000,0.033,0.044,0.031,0.000,0.026
435,-1.5619,0.025,-0.021,-4.957,0.036,0.054,-5.032,-4.936,0.021,-4.973,-4.988,0.029,-5.026,0.035,0.064,0.036,0.000,0.032,0.051,0.036,0.000,0.026
436,-1.5610,0.027,-0.021,-4.979,0.039,0.058,-5.018,-4.929,0.022,-4.978,-4.988,0.031,-5.018,0.038,0.061,0.038,0.000,0.018,0.052,0.038,0.000,0.018
437,-1.5600,0.030,-0.021,-5.005,0.042,0.059,-4.999,-4.922,0.021,-4.994,-4.988,0.033,-5.002,0.039,0.060,0.040,0.000,0.001,0.053,0.040,0.000,0.002
438,-1.5590,0.035,-0.019,-5.026,0.045,0.058,-4.981,-4.917,0.020,-5.013,-4.985,0.033,-4.986,0.039,0.062,0.039,0.000,0.019,0.057,0.039,0.000,0.014
439,-1.5579,0.043,-0.017,-5.045,0.047,0.053,-4.967,-4.914,0.018,-5.028,-4.980,0.031,-4.973,0.035,0.065,0.036,0.000,0.033,0.060,0.036,0.000,0.027
440,-1.5567,0.053,-0.015,-5.050,0.048,0.044,-4.963,-4.912,0.016,-5.033,-4.973,0.025,-4.969,0.029,0.062,0.030,0.000,0.037,0.059,0.030,0.000,0.031
441,-1.5555,0.066,-0.012,-5.041,0.049,0.029,-4.969,-4.913,0.014,-5.026,-4.964,0.013,-4.975,0.021,0.050,0.022,0.000,0.031,0.049,0.022,0.000,0.025
442,-1.5542,0.079,-0.010,-5.025,0.049,0.011,-4.983,-4.913,0.011,-5.008,-4.956,-0.002,-4.989,0.014,0.039,0.015,0.000,0.017,0.040,0.015,0.000,0.011
443,-1.5529,0.093,-0.007,-5.003,0.049,-0.010,-5.001,-4.913,0.008,-4.987,-4.948,-0.019,-5.007,0.010,0.042,0.012,0.000,0.001,0.043,0.012,0.000,0.007
444,-1.5515,0.107,-0.006,-4.985,0.048,-0.027,-5.017,-4.914,0.007,-4.967,-4.939,-0.035,-5.023,0.015,0.059,0.017,0.000,0.017,0.056,0.017,0.000,0.023
445,-1.5500,0.122,-0.005,-4.976,0.047,-0.038,-5.025,-4.913,0.007,-4.956,-4.932,-0.046,-5.032,0.023,0.074,0.024,0.000,0.025,0.067,0.024,0.000,0.032
446,-1.5484,0.137,-0.003,-4.974,0.046,-0.047,-5.026,-4.913,0.006,-4.958,-4.923,-0.052,-5.031,0.031,0.086,0.032,0.000,0.026,0.071,0.032,0.000,0.031
447,-1.5468,0.150,-0.002,-4.981,0.046,-0.050,-5.017,-4.910,0.004,-4.975,-4.917,-0.054,-5.019,0.037,0.092,0.037,0.000,0.017,0.069,0.037,0.000,0.019
448,-1.5451,0.161,-0.000,-4.997,0.048,-0.052,-5.001,-4.904,0.004,-5.002,-4.911,-0.055,-4.999,0.041,0.097,0.041,0.000,0.001,0.069,0.041,0.000,0.001
449,-1.5433,0.170,0.000,-5.015,0.051,-0.053,-4.985,-4.895,0.003,-5.026,-4.908,-0.055,-4.981,0.041,0.104,0.041,0.000,0.015,0.075,0.041,0.000,0.019
450,-1.5414,0.177,0.000,-5.028,0.056,-0.051,-4.973,-4.883,0.004,-5.044,-4.906,-0.054,-4.967,0.038,0.109,0.038,0.000,0.027,0.084,0.038,0.000,0.033
451,-1.5395,0.182,-0.000,-5.031,0.062,-0.045,-4.971,-4.869,0.005,-5.047,-4.906,-0.049,-4.965,0.032,0.110,0.033,0.000,0.029,0.088,0.033,0.000,0.035
452,-1.5375,0.186,-0.002,-5.023,0.070,-0.033,-4.977,-4.852,0.007,-5.037,-4.906,-0.039,-4.972,0.024,0.105,0.025,0.000,0.023,0.088,0.025,0.000,0.028
453,-1.5354,0.190,-0.003,-5.007,0.078,-0.017,-4.991,-4.835,0.009,-5.020,-4.906,-0.025,-4.986,0.018,0.102,0.018,0.000,0.009,0.089,0.018,0.000,0.014
454,-1.5332,0.193,-0.005,-4.985,0.087,0.002,-5.009,-4.817,0.012,-4.999,-4.907,-0.009,-5.004,0.013,0.101,0.014,0.000,0.009,0.095,0.014,0.000,0.004
455,-1.5309,0.197,-0.007,-4.966,0.097,0.019,-5.024,-4.799,0.015,-4.984,-4.906,0.006,-5.018,0.013,0.106,0.015,0.000,0.024,0.107,0.015,0.000,0.018
456,-1.5286,0.200,-0.007,-4.956,0.108,0.032,-5.033,-4.779,0.016,-4.975,-4.905,0.018,-5.026,0.019,0.111,0.020,0.000,0.033,0.120,0.020,0.000,0.026
457,-1.5262,0.204,-0.006,-4.961,0.119,0.037,-5.029,-4.758,0.016,-4.973,-4.905,0.024,-5.025,0.027,0.113,0.027,0.000,0.029,0.132,0.027,0.000,0.025
458,-1.5237,0.210,-0.003,-4.977,0.129,0.038,-5.018,-4.739,0.014,-4.984,-4.903,0.028,-5.015,0.034,0.113,0.034,0.000,0.018,0.141,0.034,0.000,0.015
459,-1.5211,0.216,-0.001,-5.005,0.141,0.039,-4.998,-4.719,0.013,-4.998,-4.900,0.030,-5.000,0.042,0.113,0.042,0.000,0.002,0.151,0.042,0.000,0.000
460,-1.5184,0.224,0.002,-5.030,0.152,0.039,-4.979,-4.700,0.012,-5.015,-4.895,0.032,-4.984,0.047,0.116,0.048,0.000,0.021,0.160,0.048,0.000,0.016
461,-1.5156,0.236,0.005,-5.044,0.162,0.036,-4.968,-4.684,0.010,-5.026,-4.888,0.033,-4.974,0.050,0.122,0.051,0.000,0.032,0.168,0.051,0.000,0.026
462,-1.5127,0.251,0.008,-5.045,0.170,0.029,-4.966,-4.671,0.009,-5.031,-4.879,0.029,-4.971,0.049,0.127,0.049,0.000,0.034,0.173,0.049,0.000,0.029
463,-1.5098,0.269,0.012,-5.034,0.179,0.017,-4.974,-4.659,0.007,-5.026,-4.867,0.020,-4.977,0.046,0.129,0.046,0.000,0.026,0.174,0.046,0.000,0.023
464,-1.5067,0.287,0.015,-5.019,0.186,0.004,-4.985,-4.647,0.006,-5.015,-4.855,0.010,-4.987,0.041,0.136,0.041,0.000,0.015,0.176,0.041,0.000,0.013
465,-1.5036,0.306,0.017,-5.006,0.190,-0.005,-4.995,-4.634,0.006,-5.005,-4.847,0.002,-4.996,0.038,0.146,0.038,0.000,0.005,0.183,0.038,0.000,0.004
466,-1.5003,0.328,0.020,-4.985,0.200,-0.021,-5.013,-4.624,0.005,-4.984,-4.830,-0.012,-5.013,0.032,0.156,0.032,0.000,0.013,0.184,0.032,0.000,0.013
467,-1.4970,0.350,0.023,-4.970,0.210,-0.034,-5.025,-4.613,0.004,-4.969,-4.814,-0.022,-5.025,0.026,0.168,0.026,0.000,0.025,0.187,0.026,0.000,0.025
468,-1.4936,0.373,0.027,-4.964,0.221,-0.042,-5.030,-4.601,0.002,-4.965,-4.795,-0.026,-5.029,0.023,0.177,0.023,0.000,0.030,0.188,0.023,0.000,0.029
469,-1.4900,0.397,0.031,-4.971,0.231,-0.045,-5.024,-4.590,0.002,-4.973,-4.777,-0.027,-5.023,0.020,0.184,0.020,0.000,0.024,0.186,0.020,0.000,0.023
470,-1.4864,0.422,0.034,-4.989,0.243,-0.045,-5.008,-4.579,0.002,-4.993,-4.757,-0.025,-5.007,0.020,0.189,0.020,0.000,0.008,0.183,0.020,0.000,0.007
471,-1.4827,0.446,0.035,-5.008,0.254,-0.043,-4.992,-4.566,0.004,-5.014,-4.739,-0.024,-4.989,0.021,0.197,0.021,0.000,0.008,0.184,0.021,0.000,0.011
472,-1.4789,0.469,0.036,-5.027,0.267,-0.041,-4.976,-4.551,0.006,-5.033,-4.721,-0.022,-4.974,0.023,0.203,0.023,0.000,0.024,0.186,0.023,0.000,0.026
473,-1.4749,0.490,0.036,-5.041,0.282,-0.034,-4.967,-4.533,0.010,-5.038,-4.704,-0.018,-4.968,0.022,0.208,0.022,0.000,0.033,0.190,0.022,0.000,0.032
474,-1.4709,0.510,0.035,-5.041,0.296,-0.024,-4.967,-4.513,0.014,-5.035,-4.690,-0.011,-4.969,0.019,0.211,0.019,0.000,0.033,0.194,0.019,0.000,0.031
475,-1.4668,0.530,0.035,-5.029,0.314,-0.008,-4.978,-4.492,0.019,-5.021,-4.673,0.002,-4.981,0.016,0.210,0.017,0.000,0.022,0.195,0.017,0.000,0.019
476,-1.4626,0.550,0.035,-5.014,0.329,0.010,-4.992,-4.470,0.023,-4.999,-4.658,0.017,-4.998,0.015,0.212,0.016,0.000,0.008,0.199,0.016,0.000,0.002
477,-1.4582,0.570,0.034,-4.991,0.347,0.032,-5.011,-4.446,0.030,-4.976,-4.643,0.035,-5.017,0.010,0.215,0.012,0.000,0.011,0.206,0.012,0.000,0.017
