tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act
411,-1.5708,2.500,0.000,-5.000,2.506,-0.016,-5.019,-2.500,0.000,-5.000,-2.504,-0.024,-5.012
412,-1.5708,2.500,0.000,-5.000,2.503,-0.023,-5.020,-2.500,0.000,-5.000,-2.502,-0.031,-5.016
413,-1.5708,2.500,0.000,-5.000,2.501,-0.025,-5.014,-2.500,0.000,-5.000,-2.500,-0.034,-5.010
414,-1.5708,2.500,0.000,-5.000,2.499,-0.027,-5.001,-2.500,0.000,-5.000,-2.498,-0.036,-4.999
415,-1.5708,2.500,0.000,-5.000,2.499,-0.028,-4.987,-2.500,0.000,-5.000,-2.496,-0.038,-4.987
416,-1.5707,2.500,0.000,-5.000,2.499,-0.028,-4.976,-2.500,0.000,-5.000,-2.496,-0.038,-4.977
417,-1.5707,2.501,0.000,-5.000,2.500,-0.024,-4.971,-2.499,0.000,-5.000,-2.497,-0.034,-4.974
418,-1.5706,2.501,0.000,-5.000,2.500,-0.017,-4.974,-2.499,0.000,-5.000,-2.497,-0.025,-4.977
419,-1.5706,2.501,0.000,-5.000,2.500,-0.006,-4.983,-2.499,0.000,-5.000,-2.498,-0.014,-4.986
420,-1.5705,2.502,0.000,-5.000,2.500,0.009,-4.998,-2.498,0.000,-5.000,-2.499,0.000,-4.999
421,-1.5704,2.502,0.000,-5.000,2.499,0.022,-5.013,-2.498,0.000,-5.000,-2.501,0.014,-5.012
422,-1.5702,2.503,0.000,-5.000,2.499,0.030,-5.023,-2.497,0.000,-5.000,-2.502,0.023,-5.020
423,-1.5701,2.504,0.000,-5.000,2.499,0.033,-5.028,-2.496,0.000,-5.000,-2.503,0.029,-5.023
424,-1.5699,2.504,0.000,-5.000,2.499,0.032,-5.022,-2.496,0.000,-5.000,-2.504,0.032,-5.018
425,-1.5697,2.506,0.000,-5.000,2.499,0.031,-5.009,-2.494,0.000,-5.000,-2.504,0.033,-5.008
426,-1.5695,2.507,0.000,-5.000,2.498,0.030,-4.996,-2.493,0.000,-5.000,-2.503,0.035,-4.995
427,-1.5692,2.508,0.000,-5.000,2.497,0.028,-4.986,-2.492,0.000,-5.000,-2.502,0.036,-4.986
428,-1.5689,2.510,0.000,-5.000,2.496,0.022,-4.982,-2.490,0.000,-5.000,-2.500,0.033,-4.982
429,-1.5685,2.511,0.000,-5.000,2.494,0.010,-4.987,-2.489,0.000,-5.000,-2.499,0.024,-4.986
430,-1.5682,2.513,0.000,-5.000,2.492,-0.003,-4.998,-2.487,0.000,-5.000,-2.499,0.011,-4.996
431,-1.5677,2.515,0.000,-5.000,2.489,-0.021,-5.013,-2.485,0.000,-5.000,-2.499,-0.005,-5.010
432,-1.5673,2.518,0.000,-5.000,2.487,-0.037,-5.027,-2.482,0.000,-5.000,-2.500,-0.018,-5.023
433,-1.5668,2.520,0.000,-5.000,2.484,-0.049,-5.036,-2.480,0.000,-5.000,-2.501,-0.030,-5.034
434,-1.5662,2.523,0.000,-5.000,2.480,-0.057,-5.038,-2.477,0.000,-5.000,-2.503,-0.035,-5.037
435,-1.5656,2.526,0.000,-5.000,2.478,-0.062,-5.032,-2.474,0.000,-5.000,-2.504,-0.037,-5.030
436,-1.5650,2.529,0.000,-5.000,2.476,-0.065,-5.017,-2.471,0.000,-5.000,-2.504,-0.039,-5.017
437,-1.5643,2.533,0.000,-5.000,2.477,-0.066,-5.002,-2.467,0.000,-5.000,-2.503,-0.041,-5.001
438,-1.5635,2.536,0.000,-5.000,2.479,-0.065,-4.987,-2.464,0.000,-5.000,-2.502,-0.041,-4.989
439,-1.5627,2.540,0.000,-5.000,2.483,-0.059,-4.980,-2.460,0.000,-5.000,-2.502,-0.037,-4.983
440,-1.5619,2.545,0.000,-5.000,2.487,-0.047,-4.981,-2.455,0.000,-5.000,-2.502,-0.026,-4.986
441,-1.5610,2.549,0.000,-5.000,2.491,-0.033,-4.989,-2.451,0.000,-5.000,-2.501,-0.011,-4.994
442,-1.5600,2.554,0.000,-5.000,2.497,-0.014,-5.004,-2.446,0.000,-5.000,-2.501,0.005,-5.006
443,-1.5590,2.559,0.000,-5.000,2.502,0.004,-5.018,-2.441,0.000,-5.000,-2.501,0.021,-5.018
444,-1.5579,2.565,0.000,-5.000,2.506,0.018,-5.029,-2.435,0.000,-5.000,-2.500,0.033,-5.027
445,-1.5567,2.570,0.000,-5.000,2.510,0.025,-5.031,-2.430,0.000,-5.000,-2.498,0.040,-5.030
446,-1.5555,2.576,0.001,-5.000,2.514,0.028,-5.025,-2.424,0.001,-5.000,-2.496,0.044,-5.024
447,-1.5542,2.583,0.001,-5.000,2.518,0.033,-5.011,-2.417,0.001,-5.000,-2.492,0.046,-5.012
448,-1.5529,2.590,0.001,-5.000,2.523,0.037,-4.996,-2.410,0.001,-5.000,-2.488,0.048,-4.997
449,-1.5515,2.597,0.001,-5.000,2.527,0.040,-4.983,-2.403,0.001,-5.000,-2.484,0.048,-4.987
450,-1.5500,2.604,0.001,-5.000,2.533,0.039,-4.978,-2.396,0.001,-5.000,-2.478,0.043,-4.981
451,-1.5484,2.612,0.001,-5.000,2.539,0.032,-4.980,-2.388,0.001,-5.000,-2.471,0.032,-4.984
452,-1.5468,2.620,0.001,-5.000,2.545,0.022,-4.987,-2.380,0.001,-5.000,-2.465,0.019,-4.992
453,-1.5451,2.629,0.002,-5.000,2.553,0.007,-5.001,-2.371,0.002,-5.000,-2.457,-0.001,-5.007
454,-1.5433,2.638,0.002,-5.000,2.560,-0.006,-5.015,-2.362,0.002,-5.000,-2.448,-0.019,-5.022
455,-1.5414,2.647,0.002,-5.000,2.567,-0.018,-5.027,-2.353,0.002,-5.000,-2.440,-0.031,-5.031
456,-1.5395,2.656,0.002,-5.000,2.571,-0.024,-5.030,-2.344,0.002,-5.000,-2.431,-0.039,-5.033
457,-1.5375,2.667,0.003,-5.000,2.576,-0.027,-5.025,-2.333,0.003,-5.000,-2.423,-0.043,-5.027
458,-1.5354,2.677,0.003,-5.000,2.580,-0.030,-5.012,-2.323,0.003,-5.000,-2.414,-0.047,-5.011
459,-1.5332,2.688,0.004,-5.000,2.585,-0.032,-4.997,-2.312,0.004,-5.000,-2.406,-0.050,-4.994
460,-1.5309,2.699,0.004,-5.000,2.591,-0.032,-4.984,-2.301,0.004,-5.000,-2.397,-0.052,-4.978
461,-1.5286,2.711,0.004,-5.000,2.597,-0.029,-4.978,-2.289,0.004,-5.000,-2.389,-0.048,-4.969
462,-1.5262,2.723,0.005,-5.000,2.603,-0.020,-4.981,-2.277,0.005,-5.000,-2.381,-0.038,-4.970
