tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d1_alpha,d1_beta,d1_e_p,d1_e_a,d1_de_p,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,d2_alpha,d2_beta,d2_e_p,d2_e_a,d2_de_p
411,-1.5708,2.480,0.014,-5.000,2.462,0.028,-5.002,0.4835,0.6266,0.0476,-0.0122,0.0476,-2.544,-0.010,-5.000,-2.589,-0.020,-5.065,0.5044,0.6070,0.0914,-0.0041,0.0914
412,-1.5708,2.468,0.020,-5.000,2.456,0.027,-4.998,0.2692,0.8511,0.0517,-0.0118,0.0042,-2.564,-0.015,-5.000,-2.585,-0.020,-5.063,0.2503,0.8847,0.0872,-0.0040,-0.0042
413,-1.5708,2.465,0.019,-5.000,2.452,0.026,-4.992,0.2682,0.8540,0.0549,-0.0105,0.0032,-2.561,-0.014,-5.000,-2.582,-0.019,-5.061,0.2495,0.8836,0.0841,-0.0035,-0.0032
414,-1.5708,2.462,0.018,-5.000,2.448,0.025,-4.988,0.2677,0.8564,0.0572,-0.0083,0.0022,-2.559,-0.015,-5.000,-2.579,-0.019,-5.058,0.2491,0.8833,0.0812,-0.0024,-0.0028
415,-1.5708,2.461,0.016,-5.000,2.446,0.022,-4.986,0.2624,0.8631,0.0581,-0.0058,0.0009,-2.557,-0.016,-5.000,-2.577,-0.021,-5.058,0.2531,0.8772,0.0798,-0.0012,-0.0014
416,-1.5707,2.459,0.013,-5.000,2.445,0.017,-4.989,0.2526,0.8725,0.0581,-0.0028,-0.0000,-2.556,-0.018,-5.000,-2.576,-0.024,-5.059,0.2649,0.8626,0.0804,0.0000,0.0005
417,-1.5707,2.458,0.008,-5.000,2.444,0.011,-4.993,0.2506,0.8749,0.0578,-0.0001,-0.0003,-2.555,-0.021,-5.000,-2.577,-0.029,-5.062,0.2807,0.8467,0.0827,0.0014,0.0023
418,-1.5706,2.458,0.002,-5.000,2.443,0.003,-5.000,0.2548,0.8705,0.0579,0.0030,0.0002,-2.556,-0.025,-5.000,-2.578,-0.035,-5.066,0.2856,0.8400,0.0865,0.0027,0.0039
419,-1.5706,2.458,-0.005,-5.000,2.443,-0.006,-5.008,0.2622,0.8634,0.0588,0.0063,0.0009,-2.556,-0.030,-5.000,-2.579,-0.042,-5.071,0.2887,0.8372,0.0907,0.0038,0.0042
420,-1.5705,2.459,-0.011,-5.000,2.444,-0.014,-5.015,0.2591,0.8668,0.0594,0.0090,0.0005,-2.557,-0.033,-5.000,-2.580,-0.046,-5.074,0.2883,0.8397,0.0939,0.0044,0.0032
421,-1.5704,2.461,-0.015,-5.000,2.447,-0.020,-5.017,0.2498,0.8763,0.0588,0.0105,-0.0006,-2.557,-0.034,-5.000,-2.582,-0.048,-5.076,0.2886,0.8408,0.0965,0.0045,0.0026
422,-1.5702,2.464,-0.020,-5.000,2.452,-0.026,-5.015,0.2445,0.8832,0.0572,0.0111,-0.0016,-2.559,-0.035,-5.000,-2.583,-0.048,-5.073,0.2841,0.8458,0.0984,0.0043,0.0019
423,-1.5701,2.468,-0.023,-5.000,2.457,-0.030,-5.011,0.2459,0.8814,0.0559,0.0110,-0.0013,-2.560,-0.034,-5.000,-2.584,-0.047,-5.068,0.2792,0.8509,0.0998,0.0038,0.0013
424,-1.5699,2.472,-0.026,-5.000,2.462,-0.034,-5.005,0.2460,0.8809,0.0548,0.0103,-0.0011,-2.561,-0.033,-5.000,-2.586,-0.046,-5.061,0.2809,0.8493,0.1012,0.0033,0.0015
425,-1.5697,2.476,-0.028,-5.000,2.467,-0.036,-5.000,0.2422,0.8846,0.0531,0.0090,-0.0017,-2.561,-0.031,-5.000,-2.588,-0.043,-5.055,0.2872,0.8433,0.1033,0.0027,0.0021
426,-1.5695,2.480,-0.027,-5.000,2.472,-0.036,-4.999,0.2354,0.8908,0.0500,0.0068,-0.0030,-2.563,-0.028,-5.000,-2.591,-0.039,-5.053,0.2907,0.8400,0.1056,0.0019,0.0024
427,-1.5692,2.484,-0.024,-5.000,2.477,-0.032,-5.001,0.2343,0.8953,0.0443,0.0031,-0.0057,-2.565,-0.024,-5.000,-2.594,-0.033,-5.055,0.2890,0.8419,0.1078,0.0010,0.0021
428,-1.5689,2.489,-0.020,-5.000,2.482,-0.026,-5.007,0.2355,0.8957,0.0376,-0.0011,-0.0067,-2.566,-0.018,-5.000,-2.598,-0.025,-5.058,0.2958,0.8354,0.1105,-0.0000,0.0027
429,-1.5685,2.493,-0.014,-5.000,2.487,-0.019,-5.014,0.2362,0.8960,0.0303,-0.0054,-0.0073,-2.568,-0.010,-5.000,-2.602,-0.015,-5.063,0.2998,0.8306,0.1142,-0.0013,0.0037
430,-1.5682,2.496,-0.010,-5.000,2.492,-0.013,-5.019,0.2239,0.9001,0.0254,-0.0083,-0.0049,-2.569,-0.004,-5.000,-2.605,-0.005,-5.068,0.3035,0.8270,0.1184,-0.0024,0.0043
431,-1.5677,2.499,-0.008,-5.000,2.495,-0.011,-5.020,0.2282,0.8929,0.0232,-0.0102,-0.0022,-2.570,0.001,-5.000,-2.608,0.002,-5.070,0.3070,0.8239,0.1230,-0.0032,0.0046
432,-1.5673,2.502,-0.007,-5.000,2.497,-0.010,-5.018,0.2412,0.8809,0.0229,-0.0109,-0.0003,-2.571,0.006,-5.000,-2.611,0.008,-5.069,0.3163,0.8137,0.1293,-0.0037,0.0063
433,-1.5668,2.504,-0.007,-5.000,2.499,-0.009,-5.011,0.2435,0.8782,0.0229,-0.0106,0.0000,-2.572,0.008,-5.000,-2.615,0.012,-5.066,0.3204,0.8106,0.1358,-0.0038,0.0065
434,-1.5662,2.507,-0.005,-5.000,2.501,-0.007,-5.003,0.2407,0.8815,0.0225,-0.0094,-0.0004,-2.573,0.010,-5.000,-2.618,0.015,-5.061,0.3215,0.8111,0.1418,-0.0034,0.0060
