tick,theta,leader_x_cmd,leader_y_cmd,leader_z_cmd,leader_x_act,leader_y_act,leader_z_act,follower_x_cmd,follower_y_cmd,follower_z_cmd,follower_x_act,follower_y_act,follower_z_act,formation_error
411,-1.5708,0.000,0.000,-5.000,0.034,0.019,-4.999,-4.995,0.003,-5.000,-4.972,0.016,-4.990,0.007
412,-1.5708,0.000,0.000,-5.000,0.029,0.015,-4.998,-4.991,0.005,-5.000,-4.978,0.012,-4.989,0.007
413,-1.5708,0.000,0.000,-5.000,0.024,0.011,-4.998,-4.989,0.006,-4.999,-4.985,0.007,-4.990,0.009
414,-1.5708,0.000,0.000,-5.000,0.018,0.005,-5.000,-4.988,0.006,-5.000,-4.990,0.002,-4.992,0.009
415,-1.5708,0.000,0.000,-5.000,0.014,-0.000,-5.003,-4.988,0.005,-5.000,-4.995,-0.003,-4.995,0.009
416,-1.5707,0.000,0.000,-5.000,0.010,-0.005,-5.005,-4.988,0.003,-5.001,-5.000,-0.007,-4.998,0.011
417,-1.5707,0.001,0.000,-5.000,0.007,-0.009,-5.007,-4.989,0.001,-5.002,-5.004,-0.009,-5.001,0.011
418,-1.5706,0.001,0.000,-5.000,0.004,-0.012,-5.008,-4.990,-0.001,-5.003,-5.008,-0.011,-5.002,0.012
419,-1.5706,0.001,0.000,-5.000,0.002,-0.014,-5.007,-4.991,-0.003,-5.003,-5.012,-0.011,-5.001,0.014
420,-1.5705,0.002,0.000,-5.000,0.001,-0.015,-5.006,-4.992,-0.005,-5.004,-5.014,-0.010,-4.999,0.016
421,-1.5704,0.002,0.000,-5.000,-0.001,-0.016,-5.005,-4.994,-0.006,-5.004,-5.016,-0.010,-4.996,0.016
422,-1.5702,0.003,0.000,-5.000,-0.003,-0.015,-5.003,-4.995,-0.007,-5.004,-5.017,-0.009,-4.994,0.015
423,-1.5701,0.004,0.000,-5.000,-0.005,-0.013,-5.002,-4.997,-0.008,-5.004,-5.017,-0.008,-4.993,0.013
424,-1.5699,0.004,0.000,-5.000,-0.006,-0.011,-5.004,-4.998,-0.009,-5.004,-5.014,-0.006,-4.994,0.010
425,-1.5697,0.006,0.000,-5.000,-0.007,-0.009,-5.007,-4.999,-0.009,-5.004,-5.012,-0.003,-4.995,0.008
426,-1.5695,0.007,0.000,-5.000,-0.006,-0.006,-5.011,-5.000,-0.008,-5.005,-5.009,-0.001,-4.998,0.006
427,-1.5692,0.008,0.000,-5.000,-0.006,-0.003,-5.014,-5.001,-0.008,-5.006,-5.005,0.002,-5.001,0.006
